48;STW-109;G4HGBM376096;MALAB51HACM721316;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003154135;MEDELLIN;HYUNDAI;48;admin;NULL;NULL;NULL
49;SNO-726;470HM2U1521897;3HVBFAAN08N680583;AZUL;2008;37;CERRADA;BUS;DIESEL;7636;10003320679;SABANETA;INTERNACIONAL;49;admin;NULL;NULL;NULL
50;STW-749;G4HGBM406024;MALAB51HACM731913;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003625264;MEDELLIN;HYUNDAI;50;admin;NULL;NULL;NULL
51;STW-871;G4HGBM420861;MALAB51HACM737530;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003737298;MEDELLIN;HYUNDAI;51;admin;NULL;NULL;NULL
52;TSZ-407;4HK1003469;9GCN1R759DB018243;VERDE;2013;51;CERRADA;BUS;ACPM;5193;10004764181;MEDELLIN;CHEVROLET;52;admin;NULL;NULL;NULL
53;TTN-358;J05EUA10183;9F3FC9JKTEXX10092;BLANCO VERDE;2014;37;CERRADA;BUS;ACPM;5123;10006356271;MEDELLIN;HINO;53;admin;NULL;NULL;NULL
54;TSH-725;G4HC8M412361;MALAB51GP9M284390;AMARILLO;2009;4;SEDAN;TAXI;GASO;1000;10000355066;MEDELLIN;HYUNDAI;54;admin;NULL;NULL;NULL
55;STU-237;G4HCAM144637;MALAB51GABM602816;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10005470459;MEDELLIN;HYUNDAI;55;admin;NULL;NULL;NULL
56;SNU-750;N04CUV15549;9F3UCP0H5E3100705;AZUL;2014;25;CERRADA;BUS;ACPM;4009;10006230789;SABANETA;HINO;56;admin;NULL;NULL;NULL
57;TTN-346;J05EUA10180;9F3FC9JKTEXX10089;ROJO;2014;37;CERRADA;BUS;ACPM;5123;10006364357;MEDELLIN;HINO;57;admin;NULL;NULL;NULL
58;TTN-536;J05EUA10184;9F3FC9JKTEXX10093;ROJO;2014;37;CERRADA;BUS;ACPM;5123;10006502293;MEDELLIN;HINO;58;admin;NULL;NULL;NULL
59;WDX-033;J05EUA10215;9F3FC9JKTEXX10124;VERDE;2014;37;CERRADA;BUS;ACPM;5123;10006692885;MEDELLIN;HINO;59;admin;NULL;NULL;NULL
60;WDX-374;J05EUA10222;9F3FC9JKTEXX10130;VERDE;2014;37;CERRADA;BUS;ACPM;5123;10006957649;MEDELLIN;HINO;60;admin;NULL;NULL;NULL
61;STV-608;G4HCBM320976;MALAB51GACM695745;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1000;10006796785;MEDELLIN;HYUNDAI;61;admin;NULL;NULL;NULL
62;INI-035;470HM2U1499364;3HVBFAAN27N485521;AZUL;2007;39;CERRADA;BUS;ACPM;7636;10006871065;MEDELLIN;INTERNACIONAL;62;admin;NULL;NULL;NULL
63;WDX-899;J05EUA10225;9F3FC9JKTEXX10133;ROJO;2014;55;CERRADA;BUS;ACPM;5123;10007515188;MEDELLIN;HINO;63;admin;NULL;NULL;NULL
64;WDX-915;J05EUA10287;9F3FC9JKTFXX10195;ROJO;2015;37;CERRADA;BUS;ACPM;5123;10007620819;MEDELLIN;HINO;64;admin;NULL;NULL;NULL
65;WDX-940;J05EUA10249;9F3FC9JKTEXX10157;VERDE;2014;37;CERRADA;BUS;ACPM;5123;10007617699;MEDELLIN;HINO;65;admin;NULL;NULL;NULL
66;WDX-941;J05EUA10248;9F3FC9JKTEXX10156;VERDE;2014;37;CERRADA;BUS;ACPM;5123;10007617963;MEDELLIN;HINO;66;admin;NULL;NULL;NULL
